Var2|Var4|Var6
820.302842114714|978.15350268895|460.688025435734
819.853370796173|977.770269979803|461.375437705659
821.552765330007|978.7127652817|458.51536697658
822.406906052991|977.017932011236|460.326892844592
824.090688787715|979.053638143559|459.183547655327
822.270653714659|974.362961913333|458.160847522427
822.512459494122|978.504568913941|461.310920203936
822.677794271406|977.457286553477|460.587830993496
821.628157175047|975.809689833331|459.190153999881
824.041624717428|976.080662004347|457.215202868063
821.608925084623|975.257022763147|459.529942284165
822.766506068429|976.093335316588|457.979926087232
822.709418217132|975.495431070688|459.107787517959
822.808861861341|976.069744972009|459.908193464019
822.184286039643|974.971698410413|458.039397510504
821.152922536805|975.834602742691|460.807277962697
822.420159091647|975.550362225033|458.598598852183
822.249224963917|976.014350103135|459.853905096428
823.299639742965|975.209554157544|459.162970891733
824.114413800173|975.880647613285|458.491874617249
819.107461465657|975.435140097389|461.410018786859
822.406577937275|975.886724091626|459.116827907593
823.455794588192|975.212142724099|458.105319098855
821.789760010823|976.63145843043|460.361620687131
822.568911834492|975.989316277752|458.995305005915
821.331074902532|976.314179318063|460.632475446389
820.145283544885|976.194716111803|461.724995333507
823.793194737213|979.174433641061|459.459981220603
821.653207630792|977.017159104486|458.497682723042
822.557941379823|976.744868428316|459.931515614793
823.884130653398|976.464792634377|460.088915584647
822.215517359798|977.769884791066|460.135028929356
821.07985028139|976.048803427802|459.649616196735
820.866423312236|975.045044975773|460.48222997566
821.37414752956|975.712768430346|458.650548810601
821.118692455818|976.853221395644|460.695538868423
821.5139799167|977.475045736631|459.317970330585
822.691062276632|976.896916276279|461.684493207439
823.967248955809|976.077697701372|459.637964899382
821.854571350815|977.128271828643|460.999086813388
821.835926446001|973.513598307596|458.432666306958
821.803128926621|975.702091068201|461.799757903815
821.380032801213|977.100367241031|461.078701228677
822.581925960931|976.813682552836|459.039315055378
822.318988765802|975.706565309245|458.978855115251
821.644024738547|975.165850666421|459.782756373635
822.293836177299|978.47543219331|460.607684991325
821.100073079021|974.275782102875|459.688839913135
824.488511240289|975.647423762181|458.985730474351
819.097623737442|977.675479166316|462.305480904175
822.181093278459|977.764511871243|461.144934661115
821.145950427624|977.800281094336|462.122026919356
823.608000001416|975.7618432977|460.227665983315
823.114539288645|975.705861910588|459.426224459378
823.753071031975|977.866317167786|460.162216387593
822.31121612834|976.782767535611|458.727454119972
822.749360234935|977.234917129063|460.803727077044
823.688435396843|975.606373508407|458.123037352901
821.67218492443|977.03006182713|459.904433076411
824.404596759186|975.908230367334|459.116226648208
823.813411347939|977.57600075042|458.415138730073
821.971045641144|976.682816502714|460.572264838552
822.629480614654|976.479828401726|460.569987139685
820.192739686805|976.861193313571|461.508884308733
821.662125150916|977.676486820465|459.627937701255
822.233228163541|974.69288157161|459.472683466705
822.829218925927|977.311887646271|457.794701325522
822.044610983967|978.023412170883|462.081019678003
821.951240969631|976.367558170252|460.053573999346
824.235331938587|975.735095937878|459.116749846756
825.802432377079|976.085017487341|458.14222775477
823.987892436718|977.836197463521|458.562452875497
821.712116167907|976.745464000752|460.161084951738
822.250611205221|975.01021710325|459.006226556869
822.682267779043|977.553882283821|458.380244002537
823.343527212448|978.347313967582|460.124822690723
822.195803526957|975.551732148092|459.355587915231
820.69277320434|975.873799236481|459.600056413237
821.738279982726|977.439067279022|460.166087051998
823.027669954024|977.627508166049|459.959186812502
822.326134374943|976.09702022632|459.924350779753
821.22293476655|974.329548071367|459.07487953665
823.136309112954|973.663710132221|457.924924333278
822.69817784342|976.385970339253|460.734738307026
823.332494915012|976.350997323458|459.417607322221
820.212083062535|977.141181105123|460.014721228438
821.381798026767|975.53908451271|460.720971627337
820.222913368421|977.029181022995|462.02361097372
822.998703005665|976.353409409155|460.207476453585
823.674770300609|975.608071237897|459.93891279979
823.65555632007|976.538497419463|462.046225017647
822.563492922354|977.1686903316|459.9774958338
823.370451305032|975.622773476285|458.409255733138
822.611185996477|976.445988394382|458.369445882712
819.703404707785|977.23483216228|461.547672268033
823.342658024745|976.920983305213|458.243446481343
819.796946087843|976.169086096135|459.644421219441
820.489784076075|975.697415939176|460.006872022064
822.083813959822|976.935758451093|459.737967076996
822.562183960913|977.033213090906|457.710737851127
821.714674635063|975.076206048005|460.142466692159
822.310988215264|975.228067587548|460.027403190593
821.897503572232|977.922077897908|461.426860077869
822.89936656433|977.037209021235|460.390523246556
821.623279892723|976.70028483573|459.085821626875
822.560156428494|975.562683051389|459.508505249749
820.512003166441|977.926830313416|460.560034364579
822.586862014778|977.29818608023|461.454697665573
821.095056945529|977.630159698708|461.602806520878
822.866687991692|974.790862722912|457.604092465903
825.136184659261|974.166404073795|458.728396666625
821.583164775099|978.07862099594|460.707127815474
822.996487242139|977.326266975585|458.737965540351
821.318017410472|976.044498766212|458.691454186774
821.743270421254|977.638160708418|460.657407351124
822.106219814368|976.625944650328|459.919454126867
821.690368983354|977.16462582057|461.663329182321
820.647213034957|977.601923829252|460.125158614037
823.449418113061|976.022226660598|459.305127937859
824.575236005015|976.137615192138|457.954527118953
821.934939945217|975.568825148518|459.633529242975
821.767124606178|976.329908939723|461.4337759015
824.346748413796|974.495194989377|458.196133940793
821.963212086077|976.441514549416|459.888382453358
822.756323063701|976.124492716327|459.305467153422
821.318003759008|976.467520077589|460.957983881363
820.979631463383|977.095568485166|459.954698738255
822.344494300957|976.432455789832|460.7325884952
821.789785718804|976.212271415421|460.646505096903
822.715963217629|978.405454523431|459.200682069159
822.38858225518|976.619478994322|459.39089876471
822.286577073493|975.668434459743|458.14871649167
821.794080524927|974.518607784089|459.382867336768
822.076734059155|977.387756716425|460.965990589045
822.13289042582|976.318651942286|460.562237462155
823.345304329958|976.910454688126|459.171752020045
821.24140524971|976.116636547689|461.515946383566
823.998952176407|977.065439457075|458.447015211068
820.582093705247|976.147149505382|460.34113589023
821.125386159918|975.115160348967|459.476001194194
823.967593224013|976.358376714026|458.459115727066
823.484927615572|977.159722247283|460.932874645644
823.730957750117|975.493610341041|459.348379695697
823.686935229643|976.810708731832|459.42557645889
822.786270438068|974.999628915984|457.869279123848
822.073373519544|977.656369321917|461.426243856813
821.809019747012|976.475733988258|459.489268226814
823.594881030514|975.217106122922|460.503685512462
822.713728919664|978.059762673388|459.102516347484
821.399233318744|975.959510233381|461.545796244836
823.063670921699|975.150992950839|459.982235321092
821.87333766453|976.175272188525|459.443233003659
821.89798038746|977.330205154216|460.776067532663
821.605440573116|978.841070862779|461.155325321292
822.430525854215|976.434396915595|460.091958180327
824.79807600227|976.789623538691|457.196247706064
821.900179837649|976.982126220171|460.280825018895
823.288106110192|975.772462043688|459.563440932101
822.297357570027|977.686377658888|460.84044153242
821.967738556908|976.187238593811|458.695387775008
822.093583575629|975.310711127524|459.743840734667
822.744684118224|975.766950222912|458.405654472602
821.637017972356|976.544407603032|460.696094441455
823.892030184661|975.16505070631|458.156370691985
820.599295141554|977.027012968611|460.311426855658
822.956967921504|976.838950331717|460.257093427163
823.529432428005|978.951890834466|459.624328455067
823.066099583867|975.282747456467|457.88309475351
822.443057875651|977.69851857217|458.389539103836
822.721605419235|978.925247714253|460.591362870778
822.073274352053|975.155767233409|459.01943969971
822.072134214289|976.051223817978|459.447552165832
821.624628497441|977.026759425197|462.801537136608
824.724469748358|975.037168826423|456.589651206881
822.023798784982|975.995890605875|460.433579837428
822.39563986831|975.933503513286|460.757869685793
821.239465128882|977.461630425036|460.873938538807
823.129762098734|976.943709633744|458.398685092609
825.274140494031|974.787657884744|459.745754692564
822.527344083105|977.393522826745|459.903414293141
823.927925497686|976.029701147034|460.301761443355
821.312481087244|975.890178213959|460.144263721617
819.475521654502|976.582614564218|461.744437458969
824.152857985671|977.425784595954|458.440288564528
823.582554277159|975.353227841171|457.471954799278
820.526260700717|975.896198391965|460.125127937108
822.750803682303|976.654089348628|459.573185938334
822.982953373575|976.364185590981|457.40409202272
821.573244620764|976.830918821729|461.327553384723
823.73689655592|975.334066123502|461.53244654791
821.44161970627|975.741023442786|460.693292630005
822.567871684782|977.995337707585|459.764023405293
818.802039315482|977.146591410718|460.98443758489
822.25627563404|977.783805222579|461.357896633325
822.956730686805|978.268681261834|460.023442119474
823.215695915639|976.14093703246|459.707508930541
823.016348573261|975.555678013177|459.919010354271
821.333010678665|974.701825415366|459.110244545114
823.295829533121|978.20049773016|459.657674422802
824.017517030018|976.90889916794|459.350775143941
822.374711996696|976.871418954312|460.885769253937
822.968734259633|976.379468229036|459.347915200169
821.102441596782|975.296291714697|459.251281144664
821.520355773223|976.664634026102|458.136786851865
823.483655136965|977.47516369579|459.691603280594
821.150191713559|977.659347210264|460.96664363234
